© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Workspace	My Projects
Project	AlexC
Analysis	MockvVirus_DEP - 2020-10-08 04:50 PM
Date	Wed Oct 07 22:44:01 PDT 2020
Analysis ID	19812273

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	down regulated -0.267 and up regulated 0.267
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->AlexC->MockvVirus_DEP - 2020-10-08 04:50 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
dacomitinib	chemical drug	 	2	 	 	0.905	2.85E-03	2.21E-02	Akt,dacomitinib,EGFR,ERBB2,ERK1/2,LCK,MKNK1	BID,CASP3,CSNK2B,EPS15,GNAQ,HSPA2,MBP,PRDX2,S100A6,TUBA4A,UBA1	11 (7)	6	 	 	 	 	EGFR,ERBB,MKNK1	 	 	 	 	
TARDBP	transcription regulator	0.250	2	 	 	0.378	2.88E-03	5.80E-03	26s Proteasome,Cdc42,RAC1,RELA,TARDBP	BID,CASP3,MBP,MLF1,MYCBP,OAS2,PSMC2	7 (5)	5	CD247,MMP3,mono-(2-ethylhexyl)phthalate	UBE2E1,UBQLN1	 	IFNG,mir-132,PRKN,RPS6KB1	26s Proteasome,VPS4B	 	 	 	 	
ZBTB7A	transcription regulator	 	1	 	 	1.414	3.10E-03	6.70E-03	ZBTB7A	BID,CASP3	2 (1)	1	 	 	 	 	Cyclin A,MDM2	 	 	 	 	
FOXO4	transcription regulator	 	2	 	 	0.632	3.19E-03	2.25E-02	26s Proteasome,Akt,CDKN1A,FOXO4,HIF1A,SIRT1	BID,CASP3,HMGCL,MANF,MLF1,MYCBP,NUCKS1,OAS2,PML,PSMC2	10 (6)	5	 	AICAR,CSNK1A1,EGF,Ins1,MTM1,NLK,RGL2,SOX2	 	26s Proteasome,BCL6,JAG1	APLN,CCND2,COL4A2,FLT4,IL10RB,PTPRB	 	 	 	 	
azoxymethane	chemical toxicant	 	2	 	 	-1.069	3.25E-03	4.46E-02	azoxymethane,GSK3B,RAS,STAT3,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,OAS2,PML,PRDX2,RPS12,SH3GLB1,UBA1	14 (5)	4	 	 	 	IFNG,MYC,ODC1	 	 	 	 	 	
DNAJB1	transcription regulator	0.581	2	 	 	-0.832	3.26E-03	4.30E-02	DNAJB1,HSF1,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,PML,PRDX2,RPS12,TCP1,UBA1	13 (3)	2	MAPKAPK5	PTP4A1	 	 	 	 	 	 	 	
MYCL	transcription regulator	 	1	 	 	0.577	3.31E-03	9.80E-03	MYCL	LARS1,NUDT21,SNRPD1	3 (1)	1	 	MXD1	 	CCNT1,CDK7,CSNK1A1	 	 	 	 	 	
stigmatellin	chemical reagent	 	2	 	 	-0.832	3.35E-03	4.03E-02	ERK1/2,stigmatellin,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,PML,PRDX2,RPS12,S100A6,UBA1	13 (3)	2	 	 	 	 	 	 	 	 	 	
SHC4	other	 	2	 	 	-0.816	3.41E-03	1.07E-02	EGFR,RAS,SHC4	CASP3,EPS15,MBP,PML,TUBA4A,UBA1	6 (3)	2	 	 	 	EGFR	 	 	 	 	 	
ACSL1	enzyme	-0.268	1	 	 	1.000	3.46E-03	9.50E-03	ACSL1	CASP3	1 (1)	1	mono-(2-ethylhexyl)phthalate,pirinixic acid,PSEN2,SMARCB1,testosterone,tretinoin	SLC27A2	 	 	 	 	 	 	 	
BDNF-AS	other	 	1	 	 	-1.000	3.46E-03	9.50E-03	BDNF-AS	CASP3	1 (1)	1	 	IFNG	 	 	 	 	 	 	 	
BL-V8-310	chemical reagent	 	1	 	 	-1.000	3.46E-03	9.50E-03	BL-V8-310	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
Clathrin	complex	 	1	 	 	1.000	3.46E-03	5.80E-03	Clathrin	CKAP5	1 (1)	1	Ck2	brefeldin A	 	 	 	 	 	 	 	
PHF10	other	 	1	 	 	1.000	3.46E-03	9.50E-03	PHF10	CASP3	1 (1)	1	CD24,PAX3-FOXO1	 	 	 	 	 	 	 	 	
RIC8A	other	-0.241	1	 	 	-1.000	3.46E-03	4.00E-03	RIC8A	GNAQ	1 (1)	1	 	 	 	 	 	 	 	 	 	
UCM03025	chemical reagent	 	1	 	 	1.000	3.46E-03	6.70E-03	UCM03025	MBP	1 (1)	1	 	 	 	 	 	 	 	 	 	
VPS4B	transporter	-0.033	1	 	 	-1.000	3.46E-03	9.50E-03	VPS4B	CASP3	1 (1)	1	CD247	mir-122,miR-125b-5p (and other miRNAs w/seed CCCUGAG),TARDBP	 	 	 	 	 	 	 	
epi-BL-V8-310	chemical reagent	 	1	 	 	-1.000	3.46E-03	9.50E-03	epi-BL-V8-310	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
fluorescein	chemical drug	 	1	 	 	-1.000	3.46E-03	9.50E-03	fluorescein	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
gataparsen	biologic drug	 	1	 	 	-1.000	3.46E-03	9.50E-03	gataparsen	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
tubulin	complex	 	1	 	 	-1.000	3.46E-03	4.00E-03	tubulin (complex)	GNAQ	1 (1)	1	Ck2	PRKN	 	 	 	 	 	 	 	
ST6GAL1	enzyme	 	2	 	 	0.632	3.48E-03	2.34E-02	Akt,CASP8,EGFR,p70 S6k,RB1,RELA,ST6GAL1	ATP6V1F,BID,CASP3,EPS15,MBP,NIT1,OAS2,PABPC4,TUBA4A,UBA1	10 (7)	6	PTGER4	 	 	CCND2,CD79B	EGFR	 	 	 	 	
verticillin A	chemical reagent	 	3	 	 	-1.387	3.51E-03	4.70E-02	EHMT1,EHMT2,FGF21,SUV39H1,TP53,verticillin A	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,HMGCL,MACROH2A2,NPEPPS,PML,PRDX2,RPS12,UBA1	13 (6)	2	 	 	 	 	 	 	 	 	 	
INPPL1	phosphatase	 	2	 	 	0.333	3.53E-03	2.36E-02	Akt,EGFR,ERK1/2,GSK3B,INPPL1,PRKCI,RAC1	BID,CASP3,EPS15,MBP,PLS1,S100A6,SH3GLB1,TUBA4A,UBA1	9 (7)	6	Ins1,SOX2	imatinib,trypsin	 	EGFR	Mapk,RPS6KB1	 	 	 	 	
XPC-RAD23B-CETN2	complex	 	3	 	 	1.732	3.63E-03	4.14E-02	CETN2,ESR1,Jnk,PPARG,RAD23B,TFIIH,XPC,XPC-RAD23B-CETN2	ADD3,CASP3,COG7,CPNE1,ENAH,GNAQ,HADHB,MBP,NPEPPS,PLS1,RANBP2,SCIN	12 (8)	4	 	 	 	 	 	 	 	 	 	
COPS2	other	0.031	2	 	 	-1.387	3.64E-03	4.50E-02	COPS2,JUN,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,MBP,NPEPPS,PML,PRDX2,RPS12,UBA1	13 (3)	2	 	 	 	 	 	 	 	 	 	
L-685,458	chemical - protease inhibitor	 	2	 	 	1.387	3.64E-03	4.39E-02	ERK1/2,L-685,458,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,PML,PRDX2,RPS12,S100A6,UBA1	13 (3)	2	 	 	 	EGFR	HES1,HEY1,ID1,IFNG,NR2F2,PTPRK	 	 	 	 	
Nos	group	 	2	 	 	-1.667	3.72E-03	1.88E-02	26s Proteasome,ERK1/2,HIF1A,Nos,REN	ADD3,BID,HMGCL,MANF,MLF1,MYCBP,NUCKS1,PSMC2,S100A6	9 (5)	4	1,3-bis(4-hydroxyphenyl)-4-methyl-5-[4-(2-piperidinylethoxy)phenol]-1H-pyrazole,adenine-riboflavin dinucleotide,AGTR1,CCL20,crocidolite asbestos,IFNG,TXN	ARG2,brefeldin A,CBS/CBSL,mir-132,nitric oxide synthase inhibitor,pentamidine,PTGER4,zinc protoporphyrin IX	 	26s Proteasome,FOS	 	 	 	 	 	
oltipraz	chemical drug	 	2	 	 	0.832	3.78E-03	4.73E-02	CHUK,oltipraz,TP53	ADD3,BID,CASP3,ENAH,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,PML,PRDX2,RPS12,UBA1	13 (3)	2	 	 	 	ACE,C/EBP	ACE2,RPS6KB1	 	 	 	 	
ATF4	transcription regulator	 	2	 	 	-0.302	3.84E-03	3.21E-02	ATF4,DDIT3,EPO,HIF1A,IRF7,NFE2L2,RUNX2,STAT5A	BID,CASP3,CSNK2B,EIF3G,HMGCL,LARS1,MANF,MLF1,MYCBP,NUCKS1,OAS2	11 (8)	8	1-methyl-4-phenylpyridinium,2-deoxyglucose,arsenic trioxide,carbonyl cyanide m-chlorophenyl hydrazone,CCNT1,CDK9,Ck2,clasto-lactacystin beta-lactone,fenretinide,GABBR1,GAST,gossypol,HLA-B,IFNG,lovastatin,MYC,N-Ac-Leu-Leu-norleucinal,NCOA3,obatoclax,orlistat,PI3K (complex),POSTN,salirasib,zerumbone	4-phenylbutyric acid,MFN2,mir-214,MK2206,NCK2,sirolimus,tiron,TSC2	 	APBA3,APEX1,EIF4EBP1,HERPUD1,HSPA5,NDRG1,NR1H3,PRKN,PTX3,SNAI2,TNFRSF11B,XDH	Ins1	 	 	 	 	
Eph Receptor	group	 	2	 	 	0.333	3.94E-03	2.56E-02	Eph Receptor,HRAS,MAP2K1,MAP4K4,MAPK1,RAF1	HADHB,HMGCL,KYAT3,MBP,MECP2,OAS2,PRDX2,SNRPD1,TUBA4A	9 (6)	5	 	 	 	DOK1,MAP4K4,Mapk	 	 	 	 	 	
lorlatinib	chemical drug	 	2	 	 	0.000	3.95E-03	1.64E-02	EGFR,lorlatinib,NTRK2	BID,CASP3,EPS15,MBP,TUBA4A,UBA1	6 (3)	2	 	 	 	EGFR	 	 	 	 	 	
let-7a-5p (and other miRNAs w/seed GAGGUAG)	mature microRNA	 	1	Activated	 	2.000	3.96E-03	1.08E-02	let-7a-5p (and other miRNAs w/seed GAGGUAG)	ACP1,ATP6V1F,CASP3,MTPN	4 (1)	1	E2F3,PAX3-FOXO1,tretinoin	monocrotaline,pirinixic acid	 	 	ACSL6,BDNF,BIRC5,CCND2,CDK6,CDK7,COL4A2,DRD3,GAK,HBA1/HBA2,IGF2BP1,IGF2BP2,MTPN	 	 	 	 	
bafilomycin	chemical - endogenous non-mammalian	 	2	 	 	0.000	3.97E-03	2.72E-02	Akt,bafilomycin,EGFR,HIF1A,INSR,p70 S6k,PI3K (complex)	BID,EPS15,HADHB,HMGCL,MANF,NUCKS1,PABPC4,PRDX2,TUBA4A,UBA1	10 (7)	6	 	 	 	 	EGFR,EIF4EBP1,PI3K (complex)	 	 	 	 	
MRE11	enzyme	-0.250	2	 	 	-1.387	4.04E-03	4.99E-02	IRF3,MRE11,TP53	ADD3,BID,CASP3,FAM120A,GNAQ,HADHB,MACROH2A2,NPEPPS,OAS2,PML,PRDX2,RPS12,UBA1	13 (3)	2	KDM1A	PLK1	 	CHEK1,CHEK2	 	 	 	 	 	
mir-122	microRNA	 	1	 	 	-0.577	4.12E-03	1.42E-02	mir-122	NPEPPS,SEPTIN2,TNPO2	3 (1)	1	 	 	 	 	ADAM10,FUT8,IQGAP1,MAP3K12,MMP7,NUMBL,VPS4B	 	 	 	 	
Collagen type IV	complex	 	2	 	 	0.707	4.15E-03	2.22E-02	Collagen type IV,EGFR,MAPK1	CASP3,EPS15,MBP,MECP2,OAS2,PML,TUBA4A,UBA1	8 (3)	2	EPAS1,FGFR2	Ins1,Metalloprotease,MFN2	 	EGFR,MYC	 	 	 	 	 	
U-69593	chemical reagent	 	2	 	 	0.632	4.18E-03	2.23E-02	Akt,EGFR,ERK1/2,MAPK1,U-69593	BID,CASP3,EPS15,MBP,MECP2,OAS2,PML,S100A6,TUBA4A,UBA1	10 (5)	4	 	 	 	EGFR	 	 	 	 	 	
BQ 123	biologic drug	 	2	 	 	-0.905	4.19E-03	2.77E-02	BQ 123,EDN1,EGFR,ERK1/2,MAPK1,NFkB (complex),PI3K (complex)	BID,CASP3,ENAH,EPS15,MECP2,OAS2,PML,PRDX2,S100A6,TUBA4A,UBA1	11 (7)	6	 	 	 	GNRHR	EGFR,PI3K (complex)	 	 	 	 	
IND S7	chemical - kinase inhibitor	 	1	 	 	-1.414	4.20E-03	1.08E-02	IND S7	GLOD4,PRDX2	2 (1)	1	 	 	 	ACTB	HSPA1A/HSPA1B	 	 	 	 	
FUT4	enzyme	 	2	 	 	0.000	4.22E-03	2.14E-02	EGFR,ERK1/2,FUT4,P38 MAPK,PI3K (complex)	CASP3,EPS15,MBP,PML,PRDX2,S100A6,TUBA4A,UBA1	8 (5)	5	GFER,SOX2	KLF2,tretinoin	 	PI3K (complex)	EGFR	 	 	 	 	
BB-2116	chemical - protease inhibitor	 	2	 	 	-0.707	4.36E-03	1.66E-02	BB-2116,EGFR,MAPK1	CASP3,EPS15,MBP,MECP2,OAS2,PML,TUBA4A,UBA1	8 (3)	2	 	 	 	 	EGFR	 	 	 	 	
HSPBP1	other	0.272	2	 	 	0.000	4.36E-03	1.44E-02	EGFR,HSPBP1	CASP3,EPS15,HSPA2,MBP,TUBA4A,UBA1	6 (2)	2	tretinoin	 	 	EGFR	 	 	 	 	 	
CEBPD	transcription regulator	 	2	 	 	-1.000	4.41E-03	1.91E-02	CEBPD,CREBBP,HIF1A,PPARG,XBP1	BID,ERLEC1,HADHB,HMGCL,MANF,MBP,MYCBP,NPEPPS,NUCKS1	9 (5)	5	8-chlorophenylthio-adenosine 3',5'-cyclic monophosphate,EGF,GPER1,IFNG,Ins1,prednisolone	EIF4EBP1,EIF4EBP2,NCSTN,paraquat,PIAS2	 	CREBBP,FOS,MMP13,MMP8	BIRC5,PAX3,SNAI2	 	 	 	 	
TMPRSS15	peptidase	 	3	 	 	-0.905	4.47E-03	3.01E-02	ANXA7,CHUK,F2R,IKBKB,INSR,Jnk,MMP3,NFkB (complex),P38 MAPK,PAK2,PRSS2,REN,TMPRSS15,trypsin	ADD3,BID,CASP3,CSTF3,ENAH,HADHB,MBP,NUDT21,PML,RBM8A,S100A6	11 (14)	11	 	 	 	trypsin	 	 	 	 	 	
MMP8	peptidase	 	2	 	 	-1.134	4.48E-03	1.29E-02	CXCL8,EGFR,ERK1/2,MMP8	CASP3,EPS15,MBP,MTPN,S100A6,TUBA4A,UBA1	7 (4)	3	CEBPD,diethylstilbestrol,mir-223,MMP7,NPM1,paraquat,tretinoin,trypsin	marimastat,SPINK1	 	EGFR,PDCD4	mir-21	 	 	 	 	
L-valine	chemical - endogenous mammalian	 	2	 	 	-1.414	4.51E-03	9.50E-03	L-valine,p70 S6k,ULK1	CASP3,PABPC4	2 (3)	2	 	 	 	 	ULK1	 	 	 	 	
MEL S3	chemical - kinase inhibitor	 	1	 	 	-1.414	4.51E-03	1.10E-02	MEL S3	GLOD4,PRDX2	2 (1)	1	 	 	 	ACTB	HSPA1A/HSPA1B	 	 	 	 	
alpha-estradiol	chemical - endogenous mammalian	 	2	 	 	0.632	4.52E-03	2.31E-02	Akt,alpha-estradiol,EGFR,ERK1/2,MAPK1	BID,CASP3,EPS15,MBP,MECP2,OAS2,PML,S100A6,TUBA4A,UBA1	10 (5)	4	 	 	 	EGFR	 	 	 	 	 	
1-butanol	chemical - endogenous non-mammalian	 	2	 	 	-0.302	4.63E-03	3.33E-02	1-butanol,Akt,EGFR,ERK1/2,MAPK1,Mek,p70 S6k	BID,CASP3,EPS15,MBP,MECP2,OAS2,PABPC4,PML,S100A6,TUBA4A,UBA1	11 (7)	6	 	 	 	 	EGFR,EIF4EBP1,RAP1A,RPS6KB1	 	 	 	 	
EID3	other	 	2	 	 	-0.905	4.71E-03	4.91E-02	CREBBP,EID3,ESR1,NR3C1	ADD3,COG7,CPNE1,ENAH,GNAQ,MLF1,MYCBP,PLS1,RANBP2,SCIN,TUBA4A	11 (4)	3	 	 	 	 	CREBBP	 	 	 	 	
MKNK1	kinase	 	3	 	 	-0.302	4.99E-03	3.28E-02	AR,Cpla2,EIF4E,Mek,MKNK1,MMP3,PLA2G10,PPARG,RAS,SFPQ	BID,CPNE1,CSTF3,GNAQ,HADHB,HSPA2,NPEPPS,NUDT21,PCMT1,PML,RBM8A	11 (10)	7	AGTR1,Angiotensin II receptor type 1,Mapk,MAPK12,MAPK13,MAPKAPK3,sirolimus	dacomitinib	 	ANXA5,BAG3,FOS,MYC,TFDP1	 	 	 	 	 	
mecamylamine	chemical drug	 	2	 	 	0.000	5.12E-03	1.09E-02	26s Proteasome,CHRNA3,mecamylamine	CASP3,MLF1,MYCBP,PSMC2	4 (3)	2	 	 	 	26s Proteasome,BDNF	CHRNA3,FOS	 	 	 	 	
TARDBP	transcription regulator	0.250	1	 	 	0.000	5.14E-03	8.40E-03	TARDBP	CASP3,MBP	2 (1)	1	CD247,MMP3,mono-(2-ethylhexyl)phthalate	UBE2E1,UBQLN1	 	IFNG,mir-132,PRKN,RPS6KB1	26s Proteasome,VPS4B	 	 	 	 	
EPHB1	kinase	 	2	 	 	0.905	5.17E-03	4.13E-02	EPHB1,ERK1/2,HRAS,Jnk,MAP2K1,MAP4K4,MAPK1,RAF1	CASP3,HADHB,HMGCL,KYAT3,MBP,MECP2,OAS2,PRDX2,S100A6,SNRPD1,TUBA4A	11 (8)	7	carbonyl cyanide m-chlorophenyl hydrazone	 	 	FOS,MAP4K4	 	 	 	 	 	
caffeic acid phenethyl ester	chemical drug	 	1	 	 	0.577	5.19E-03	6.90E-03	caffeic acid phenethyl ester	CASP3,S100A6,TCP1	3 (1)	1	 	 	 	 	BAG1,EGFR,NFATC2,PI3K (complex),PTGFR,S100A6	 	 	 	 	
hexarelin	chemical toxicant	 	2	 	 	-0.333	5.21E-03	3.19E-02	ERK1/2,hexarelin,Jnk,P38 MAPK,PPARG,PPARGC1A	CASP3,COX5B,HADHB,HMGCL,KYAT3,MBP,NPEPPS,PML,S100A6	9 (6)	5	 	 	 	 	 	 	 	 	 	
tyrphostin AG 1295	chemical - kinase inhibitor	 	2	 	 	0.707	5.21E-03	2.27E-02	Akt,EGFR,ERK1/2,p70 S6k,tyrphostin AG 1295	BID,CASP3,EPS15,MBP,PABPC4,S100A6,TUBA4A,UBA1	8 (5)	4	 	 	 	 	EGFR	 	 	 	 	
idarubicin	chemical drug	 	2	 	 	0.000	5.30E-03	1.17E-02	26s Proteasome,idarubicin,p70 S6k	MLF1,MYCBP,PABPC4,PSMC2	4 (3)	2	 	 	 	MDM2	26s Proteasome	 	 	 	 	
4,4'-diisothiocyanostilbene-2,2'-disulfonic acid	chemical drug	 	2	 	 	-0.333	5.43E-03	2.65E-02	4,4'-diisothiocyanostilbene-2,2'-disulfonic acid,EGFR,ERK1/2,MAPK1	CASP3,EPS15,MBP,MECP2,OAS2,PML,S100A6,TUBA4A,UBA1	9 (4)	4	 	 	 	 	EGFR	 	 	 	 	
MMP3	peptidase	 	1	 	 	0.577	5.48E-03	9.20E-03	MMP3	CSTF3,NUDT21,RBM8A	3 (1)	1	ARHGAP31,brefeldin A,chrysotile asbestos,EGF,EGFR,ELF3,IL36A,Ins1,MMP12,MTPN,paraquat,PTGER2,RLN2	ADAM12,cholesterol sulfate,FOS,marimastat,PDCD4,SIM2,sirolimus,SPINK1,tretinoin,ursolic acid	 	EPGN,KLK4,MMP13,PNN,TARDBP	NDRG1	 	 	 	 	
TCF3	transcription regulator	 	1	 	 	0.000	5.68E-03	1.77E-02	TCF3	ALCAM,MANF,PRDX2,SCIN	4 (1)	1	lenalidomide,MYC	Ck2,ID1,imatinib	 	CCND2,CD79B,Ins1,LEF1	CCS,CIP2A,EIF4EBP1,FGFR2,GATA3,KLF2,LMO4,RACGAP1,TTK	 	 	 	 	
ADM2	other	 	2	 	 	1.890	5.69E-03	2.09E-02	ADM2,ATF6,Jnk,P38 MAPK,Pka,RELA	CASP3,COX5B,MANF,MBP,OAS2,PML,PRDX2	7 (6)	6	diethylstilbestrol	 	 	FOS	ATF6	 	 	 	 	
CDK5	kinase	 	1	 	 	1.414	5.81E-03	7.20E-03	CDK5	CASP3,MBP	2 (1)	1	1-methyl-4-phenylpyridinium,EGF,HSF2,IFNG,lovastatin,prednisolone,PURA,tretinoin	CAST,CYC065,dinaciclib,GnRH analog,minocycline,PNN,SLC6A3,TP73,venlafaxine	 	DNM1,Ins1,LMNB1,mir-23,MTOR,NFAT5,PI3K (complex),RALA,RALB,RPS6KB1,S100P,SH3GLB1	PPP1CA	 	 	 	 	
CD24	other	 	2	 	 	-1.265	5.86E-03	2.71E-02	CASP8,CD24,JUN,mir-21,P38 MAPK,STAT3	ADD3,BID,CASP3,CKAP5,MBP,NUCKS1,OAS2,PML,RANBP2,SEPTIN2	10 (6)	6	NFAT5,RALA	lactacystin,LATS1,LATS2,NCOA1	 	CASP7,FOS,HMMR,Mapk,mir-21,NCOA3,PHF10,PTP4A1	 	 	 	 	 	
CCL20	cytokine	 	2	 	 	1.000	6.12E-03	2.42E-02	Akt,CCL20,EGFR,MAPK1	BID,CASP3,EPS15,MBP,MECP2,OAS2,PML,TUBA4A,UBA1	9 (4)	3	carbonyl cyanide m-chlorophenyl hydrazone,EGF,ELF3,erlotinib,FOS,IFNG,IL36A,ORMDL3,OSCAR,PLCE1,PPIF,RORC,SN-38,tretinoin,vitamin K3	E2F3,IRF1,PTGER4,S100A6,SRA1	 	EGFR,Mapk,Nos,POSTN	 	 	 	 	 	
epoxomicin	chemical - protease inhibitor	 	2	 	 	-0.378	6.29E-03	2.42E-02	26s Proteasome,CASP8,CCND1,epoxomicin,RELA	BID,CASP3,FAM120A,MLF1,MYCBP,OAS2,PSMC2	7 (5)	4	 	 	 	HSPA5	26s Proteasome	 	 	 	 	
PD158780	chemical - kinase inhibitor	 	2	 	 	-0.632	6.40E-03	3.53E-02	Akt,EGFR,ERK1/2,MAPK1,PD158780	BID,CASP3,EPS15,MBP,MECP2,OAS2,PML,S100A6,TUBA4A,UBA1	10 (5)	4	 	 	 	 	EGFR,Mapk	 	 	 	 	
1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane	chemical reagent	 	1	 	 	-1.000	6.90E-03	9.50E-03	1,1-bis(3'-indolyl)-1-(4-chlorophenyl)methane	CASP3	1 (1)	1	 	 	 	 	8-oxo-7-hydrodeoxyguanosine	 	 	 	 	
APOC1	transporter	 	1	 	 	-1.000	6.90E-03	9.50E-03	APOC1	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
ATG12	other	 	1	 	 	1.000	6.90E-03	1.07E-02	ATG12	MBP	1 (1)	1	FOXO3	MTOR,prednisolone	 	 	 	 	 	 	 	
BIRC7	enzyme	 	1	 	 	1.000	6.90E-03	9.50E-03	BIRC7	CASP3	1 (1)	1	SMARCA2,SMARCA4	imatinib,UBE2E1	 	 	CASP7	 	 	 	 	
CRYAA/CRYAA2	other	 	1	 	 	1.000	6.90E-03	1.44E-02	CRYAA/CRYAA2	CASP3	1 (1)	1	CREBBP,EP300	 	 	 	 	 	 	 	 	
FAIM2	other	 	1	 	 	1.000	6.90E-03	9.50E-03	FAIM2	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
Gamma tubulin	group	 	1	 	 	1.000	6.90E-03	9.50E-03	Gamma tubulin	CASP3	1 (1)	1	 	 	 	 	E2F3	 	 	 	 	
HIF1A-AS1	other	 	1	 	 	-1.000	6.90E-03	9.50E-03	HIF1A-AS1	CASP3	1 (1)	1	SMARCA4	 	 	 	 	 	 	 	 	
IVNS1ABP	other	 	1	 	 	-1.000	6.90E-03	1.62E-02	IVNS1ABP	PML	1 (1)	1	EGFR	 	 	PML	 	 	 	 	 	
MIR585	microRNA	 	1	 	 	-1.000	6.90E-03	1.66E-02	MIR585	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
SEPTIN5	enzyme	 	1	 	 	-1.000	6.90E-03	1.04E-02	SEPTIN5	SEPTIN2	1 (1)	1	 	PRKN	 	 	 	 	 	 	 	
VRK2	kinase	 	1	 	 	1.000	6.90E-03	4.30E-03	VRK2	TCP1	1 (1)	1	 	 	 	 	NFATC2	 	 	 	 	
cyclo(iso-Asp-GR)-LLIIKLAKLAKKLAKLAK	chemical reagent	 	1	 	 	-1.000	6.90E-03	9.50E-03	cyclo(iso-Asp-GR)-LLIIKLAKLAKKLAKLAK	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
ginkgetin	chemical - endogenous non-mammalian	 	1	 	 	-1.000	6.90E-03	9.50E-03	ginkgetin	CASP3	1 (1)	1	 	 	 	 	 	 	 	 	 	
miR-483-5p (miRNAs w/seed AGACGGG)	mature microRNA	 	1	 	 	-1.000	6.90E-03	9.20E-03	miR-483-5p (miRNAs w/seed AGACGGG)	ALCAM	1 (1)	1	 	 	 	 	ARHGDIA	 	 	 	 	
CCR5	G-protein coupled receptor	 	1	 	 	-1.414	7.26E-03	3.50E-03	CCR5	BID,CASP3	2 (1)	1	Cu2+,KLF2,PPIF,tretinoin,xanthine,XDH	CREBBP,CXCR1,EPAS1,GATA1,GATA3,GRK5,HAVCR2,miR-125b-5p (and other miRNAs w/seed CCCUGAG),PTX3,sirolimus	 	EIF4EBP1	CD9,IgG1,PI3K (complex)	 	 	 	 	
NDRG1	kinase	0.564	1	 	 	0.000	7.26E-03	8.90E-03	NDRG1	CASP3,PML	2 (1)	1	ATF4,EPAS1,FOXO3	GnRH analog,mir-210,MMP3,MYC,testosterone	 	CD82,FOS,SNAI2	CASP4,MDM2	 	 	 	 	
[D-Ala2,N-Me-Phe4,Gly5-ol]-Enkephalin	chemical reagent	 	2	 	 	0.632	7.32E-03	3.85E-02	[D-Ala2,N-Me-Phe4,Gly5-ol]-Enkephalin,EGFR,ERK1/2,MAPK1,RAC1	BID,CASP3,EPS15,MBP,MECP2,OAS2,PML,S100A6,TUBA4A,UBA1	10 (5)	4	 	 	 	EGFR,EIF4EBP1,EIF4EBP2,FOS,OPRD1,RPS6KB1	CD2AP	 	 	 	 	
Pkar2	group	 	3	 	 	0.632	7.57E-03	4.99E-02	26s Proteasome,ERK1/2,GSK3B,MAP2K1,MAPK1,MTOR,Pkar2,PP1 protein complex group,PPP1R3A	CASP3,MBP,MECP2,MLF1,MYCBP,OAS2,PML,PSMC2,S100A6,SH3GLB1	10 (9)	6	Ck2	Pp2b	 	 	PPP1R3A	 	 	 	 	
CCS	enzyme	 	2	 	 	-0.447	7.74E-03	1.74E-02	CCS,HIF1A,SOD1	BID,CASP3,HMGCL,MANF,NUCKS1	5 (3)	2	PSEN2	Cu2+,TCF3	 	 	 	 	 	 	 	
